Schulnummer,Schultyp,Name,Straße,PLZ,Ort,Link
"3503",Mittelschule,Grundschule St. Nikola Landshut,Nikolastr. 2,84034,Landshut,https://www.km.bayern.de/schule/3503
"3719",Mittelschule,Marlene-Reidel-Grundschule Kumhausen,Mozartstr. 1,84036,Kumhausen,https://www.km.bayern.de/schule/3719
"3708",Mittelschule,Grundschule Konradin Landshut-Auloh,St.-Vinzenz-Platz 4,84036,Landshut,https://www.km.bayern.de/schule/3708
"3501",Mittelschule,Grundschule Karl-Heiß Landshut,Neue Bergstr. 4,84036,Landshut,https://www.km.bayern.de/schule/3501
"3500",Mittelschule,Grundschule Landshut-Berg,Weinzierlstr. 38,84036,Landshut,https://www.km.bayern.de/schule/3500
"3193",Berufsschule,Staatliche Berufsschule IV Landshut-Schönbrunn,Am Lurzenhof 5,84036,Landshut,https://www.km.bayern.de/schule/3193
"0835",Berufsoberschule,Staatliche Berufsoberschule Landshut-Schönbrunn,Am Lurzenhof 5,84036,Landshut,https://www.km.bayern.de/schule/0835
"0891",Fachoberschule,Staatliche Fachoberschule Landshut-Schönbrunn,Am Lurzenhof 5,84036,Landshut,https://www.km.bayern.de/schule/0891
"3512",Mittelschule,Mittelschule Landshut-Schönbrunn,Am Schallermoos 15,84036,Landshut,https://www.km.bayern.de/schule/3512
"3195",BFS hausw. gastgew. und soziale Berufe,Staatliche Berufsfachschule für Ernährung und Versorgung Landshut-Schönbrunn,Am Lurzenhof 5,84036,Landshut,https://www.km.bayern.de/schule/3195
"3111",BFS hausw. gastgew. und soziale Berufe,Staatliche Berufsfachschule für Kinderpflege Landshut-Schönbrunn,Am Lurzenhof 5,84036,Landshut,https://www.km.bayern.de/schule/3111
"3259",Förderzentrum,Sonderpädagogisches Förderzentrum Landshut-Stadt,Schulstr. 3,84036,Landshut,https://www.km.bayern.de/schule/3259
"9273",Landwirtschaftliche Fachschulen,Staatl. Fachschule für Agrarwirtschaft Landshut-Schönbrunn Fachrichtung ökologischer Land,Am Lurzenhof 3a,84036,Landshut,https://www.km.bayern.de/schule/9273
"9287",Landwirtschaftliche Fachschulen,Staatl. Fachschule für Agrarwirtschaft Landshut Fachricht. Gartenbau Garten-u. Landschaftsbau,Am Lurzenhof 3L,84036,Landshut,https://www.km.bayern.de/schule/9287
"3269",Berufsfachschule des Gesundheitswesens,Private Berufsfachschule für Krankenpflegehilfe Mainb. d.Instit.f.Aus-Fort-u.Weiterbild.im Gesundheitsw.,Laurentiusweg 1 a,84048,Mainburg,https://www.km.bayern.de/schule/3269
"3670",Mittelschule,Grundschule Sandelzhausen,Schulstr. 1,84048,Mainburg,https://www.km.bayern.de/schule/3670
"3668",Mittelschule,Grundschule Mainburg,Am Gabis 4,84048,Mainburg,https://www.km.bayern.de/schule/3668
"1076",Realschule,Staatl. Realschule Mainburg,Ebrantshauser Str. 68 b,84048,Mainburg,https://www.km.bayern.de/schule/1076
"3669",Mittelschule,Hallertauer Mittelschule Mainburg,Ebrantshauser Str. 68,84048,Mainburg,https://www.km.bayern.de/schule/3669
"0158",Gymnasium,Gabelsberger-Gymnasium Mainburg,Ebrantshauser Str. 70,84048,Mainburg,https://www.km.bayern.de/schule/0158
"3707",Mittelschule,Mittelschule Essenbach,Savigneux-Platz 2,84051,Essenbach,https://www.km.bayern.de/schule/3707
"3893",Mittelschule,Grundschule Essenbach,Savigneux-Platz 2,84051,Essenbach,https://www.km.bayern.de/schule/3893
"3727",Mittelschule,Grundschule Ahrain,Landshuter Str. 8 b,84051,Essenbach,https://www.km.bayern.de/schule/3727
"3676",Mittelschule,Grundschule Rottenburg a.d.Laaber,Pater-Wilhelm-Fink-Str. 18,84056,Rottenburg a.d.Laaber,https://www.km.bayern.de/schule/3676
"3731",Mittelschule,Mittelschule Rottenburg a.d.Laaber-Hohenthann,Pater-Wilhelm-Fink-Str. 18,84056,Rottenburg a.d.Laaber,https://www.km.bayern.de/schule/3731
"3725",Mittelschule,Mittelschule Oberroning der Schulstiftung d. Diözese Regensburg,Klosterweg 2,84056,Rottenburg a.d.Laaber,https://www.km.bayern.de/schule/3725
"0705",Realschule,Staatliche Realschule Rottenburg,Pater-Wilhelm-Fink-Str. 20,84056,Rottenburg a.d.Laaber,https://www.km.bayern.de/schule/0705
"0595",Realschule,Realschule Oberroning der Schulstiftung d. Diözese Regensburg in Rottenburg,Klosterweg 2,84056,Rottenburg a.d.Laaber,https://www.km.bayern.de/schule/0595
"3132",Förderzentrum,Astrid-Lindgren-Schule Rottenburg Sonderpädagogisches Förderzentrum,Schulstraße 10,84056,Rottenburg a.d.Laaber,https://www.km.bayern.de/schule/3132
"3706",Mittelschule,Dominik-Brunner-Mittelschule Ergoldsbach,Badstr. 16,84061,Ergoldsbach,https://www.km.bayern.de/schule/3706
"3705",Mittelschule,Dominik-Brunner-Grundschule Ergoldsbach,Badstr. 16,84061,Ergoldsbach,https://www.km.bayern.de/schule/3705
"3909",Mittelschule,St.Martin-Grundschule Mallersdorf-Pfaffenberg,Holztraubacher Str. 8,84066,Mallersdorf-Pfaffenberg,https://www.km.bayern.de/schule/3909
"3129",Fachakademie,Fachakademie für Sozialpäd. d.Ordensgemeinschaft d. Armen Franzisk. v.d. Hl. Familie zu Mallersdorf,Klosterberg 1,84066,Mallersdorf-Pfaffenberg,https://www.km.bayern.de/schule/3129
"3910",Mittelschule,St.Martin-Mittelschule Mallersdorf-Pfaffenberg,Holztraubacher Str. 8,84066,Mallersdorf-Pfaffenberg,https://www.km.bayern.de/schule/3910
"0392",Gymnasium,Burkhart-Gymnasium Mallersdorf-Pfaffenberg,Burkhartstr. 3,84066,Mallersdorf-Pfaffenberg,https://www.km.bayern.de/schule/0392
"0532",Realschule,Nardini-Realschule der Schulstiftung d. Diözese Regensburg in Mallersdorf-Pfaffenberg,Klosterberg 1,84066,Mallersdorf-Pfaffenberg,https://www.km.bayern.de/schule/0532
"3000",Förderzentrum,St.-Benedikt-Schule Sonderpädagogisches Förderzentrum Mallersdorf-Pfaffenberg,Bayerwaldstraße 6,84066,Mallersdorf-Pfaffenberg,https://www.km.bayern.de/schule/3000
"4626",Mittelschule,Placidus-Heinrich-Grundschule Schierling,Jakob-Brand-Str. 3 a,84069,Schierling,https://www.km.bayern.de/schule/4626
"4808",Mittelschule,Placidus-Heinrich-Mittelschule Schierling,Jakob-Brand-Str. 3 a,84069,Schierling,https://www.km.bayern.de/schule/4808
"2551",Mittelschule,Grundschule Au i.d.Hallertau,Jahnstr. 3,84072,Au i.d.Hallertau,https://www.km.bayern.de/schule/2551
"1081",Realschule,Abenstal Realschule Staatl. Realschule Au in der Hallertau,Hochfeldstr. 32,84072,Au i.d.Hallertau,https://www.km.bayern.de/schule/1081
"3729",Mittelschule,Mittelschule Pfeffenhausen,Gaisberg 22,84076,Pfeffenhausen,https://www.km.bayern.de/schule/3729
"3673",Mittelschule,Grundschule Pfeffenhausen,Gaisberg 22,84076,Pfeffenhausen,https://www.km.bayern.de/schule/3673
"3671",Mittelschule,Grundschule Bruckberg-Gündlkofen,Tondorfer Str. 4,84079,Bruckberg,https://www.km.bayern.de/schule/3671
"3712",Mittelschule,Mittelschule Bruckberg-Gündlkofen,Tondorfer Str. 4,84079,Bruckberg,https://www.km.bayern.de/schule/3712
"3906",Mittelschule,Grundschule Laberweinting,Haaderer Str. 5,84082,Laberweinting,https://www.km.bayern.de/schule/3906
"3545",Mittelschule,Franziska-Obermayr-Schule Grundschule Langquaid,Pestalozzistr. 8,84085,Langquaid,https://www.km.bayern.de/schule/3545
"3667",Mittelschule,Franziska-Obermayr-Schule Mittelschule Langquaid,Pestalozzistr. 8,84085,Langquaid,https://www.km.bayern.de/schule/3667
"0573",Realschule,Staatliche Realschule Neufahrn i.NB,Niederfeldstr. 3,84088,Neufahrn i.NB,https://www.km.bayern.de/schule/0573
"3721",Mittelschule,Grundschule Neufahrn i.NB,Schulweg 2,84088,Neufahrn i.NB,https://www.km.bayern.de/schule/3721
"3658",Mittelschule,Grundschule Aiglsbach,Hofmarkweg 6,84089,Aiglsbach,https://www.km.bayern.de/schule/3658
"3699",Mittelschule,Grundschule Bayerbach,Schulstr. 9,84092,Bayerbach b.Ergoldsbach,https://www.km.bayern.de/schule/3699
"3677",Mittelschule,Regenbogen-Grundschule Elsendorf,Georg-Rainer-Platz 1,84094,Elsendorf,https://www.km.bayern.de/schule/3677
"3655",Mittelschule,Grundschule Furth,Klosterstr. 9,84095,Furth,https://www.km.bayern.de/schule/3655
"3709",Mittelschule,Mittelschule Furth,Klosterstr. 9,84095,Furth,https://www.km.bayern.de/schule/3709
"0095",Gymnasium,Maristen-Gymnasium Furth,Klosterstr. 6,84095,Furth,https://www.km.bayern.de/schule/0095
"3681",Mittelschule,Grundschule Sandsbach,Schulstr. 1,84097,Herrngiersdorf,https://www.km.bayern.de/schule/3681
"3714",Mittelschule,Grundschule Hohenthann,Schulstr. 12,84098,Hohenthann,https://www.km.bayern.de/schule/3714
"3855",Mittelschule,Grundschule Niederaichbach Wörth a.d.Isar,Pfarrer-Haberl-Platz 3,84100,Niederaichbach,https://www.km.bayern.de/schule/3855
"3723",Mittelschule,Mittelschule Niederaichbach Wörth a.d.Isar,Pfarrer-Haberl-Platz 3,84100,Niederaichbach,https://www.km.bayern.de/schule/3723
"3726",Mittelschule,Grundschule Obersüßbach,Schulstr. 3,84101,Obersüßbach,https://www.km.bayern.de/schule/3726
"3730",Mittelschule,Grundschule Postau,Schulstr. 7,84103,Postau,https://www.km.bayern.de/schule/3730
"2555",Mittelschule,Grundschule Rudelzhausen,Schulstr. 14,84104,Rudelzhausen,https://www.km.bayern.de/schule/2555
"3687",Mittelschule,Grundschule Volkenschwand,Neuhausener Str. 9,84106,Volkenschwand,https://www.km.bayern.de/schule/3687
